,State,Month,Predicted Value,Value,State_encoded,Error,Absolute Error,Squared Error
97,District of Columbia,3,28.654497226181466,21.0,8,7.654497226181466,7.654497226181466,58.591327785619754
98,District of Columbia,3,28.654497226181466,22.1,8,6.554497226181464,6.554497226181464,42.96143388802051
99,District of Columbia,4,28.82898443243426,11.6,8,17.22898443243426,17.22898443243426,296.8379045730621
100,District of Columbia,4,28.82898443243426,17.2,8,11.628984432434262,11.628984432434262,135.23327892979842
101,District of Columbia,4,28.82898443243426,20.5,8,8.328984432434261,8.328984432434261,69.37198167573227
102,District of Columbia,5,29.00347163868706,9.9,8,19.10347163868706,19.10347163868706,364.9426286501209
103,District of Columbia,5,29.00347163868706,14.1,8,14.90347163868706,14.90347163868706,222.11346688514956
104,District of Columbia,5,29.00347163868706,17.7,8,11.30347163868706,11.30347163868706,127.76847108660274
105,District of Columbia,6,29.177958844939855,10.6,8,18.577958844939857,18.577958844939857,345.14055484427905
106,District of Columbia,6,29.177958844939855,15.7,8,13.477958844939856,13.477958844939856,181.6553746258925
107,District of Columbia,6,29.177958844939855,18.7,8,10.477958844939856,10.477958844939856,109.78762155625336
108,Florida,3,28.63675608652436,12.8,9,15.83675608652436,15.83675608652436,250.8028433440664
109,Florida,3,28.63675608652436,17.3,9,11.33675608652436,11.33675608652436,128.52203856534715
110,Florida,3,28.63675608652436,20.8,9,7.83675608652436,7.83675608652436,61.41474595967661
111,Florida,4,28.811243292777156,13.0,9,15.811243292777156,15.811243292777156,249.99541446339063
112,Florida,4,28.811243292777156,16.5,9,12.311243292777156,12.311243292777156,151.56671141395051
113,Florida,4,28.811243292777156,20.3,9,8.511243292777156,8.511243292777156,72.44126238884412
114,Florida,5,28.985730499029955,14.1,9,14.885730499029956,14.885730499029956,221.5849724897506
115,Florida,5,28.985730499029955,19.1,9,9.885730499029954,9.885730499029954,97.72766749945102
116,Florida,5,28.985730499029955,22.6,9,6.385730499029954,6.385730499029954,40.777554006241346
117,Florida,6,29.16021770528275,15.3,9,13.86021770528275,13.86021770528275,192.1056348378334
118,Florida,6,29.16021770528275,17.8,9,11.36021770528275,11.36021770528275,129.05454631141967
119,Florida,6,29.16021770528275,22.1,9,7.060217705282749,7.060217705282749,49.84667404598801
120,Georgia,3,28.619014946867257,15.3,10,13.319014946867256,13.319014946867256,177.39615915487337
121,Georgia,3,28.619014946867257,18.1,10,10.519014946867255,10.519014946867255,110.64967545241672
122,Georgia,3,28.619014946867257,21.5,10,7.1190149468672566,7.1190149468672566,50.680373813719406
123,Georgia,4,28.793502153120052,14.2,10,14.593502153120053,14.593502153120053,212.9703050931196
124,Georgia,4,28.793502153120052,16.9,10,11.893502153120053,11.893502153120053,141.45539346627135
125,Georgia,4,28.793502153120052,20.8,10,7.993502153120051,7.993502153120051,63.89607667193489
126,Georgia,5,28.96798935937285,14.2,10,14.767989359372852,14.767989359372852,218.09350971854977
127,Georgia,5,28.96798935937285,19.1,10,9.86798935937285,9.86798935937285,97.37721399669577
128,Georgia,5,28.96798935937285,21.6,10,7.367989359372849,7.367989359372849,54.28726719983153
129,Georgia,6,29.142476565625646,16.1,10,13.042476565625645,13.042476565625645,170.10619496489412
130,Georgia,6,29.142476565625646,19.1,10,10.042476565625645,10.042476565625645,100.85133557114024
131,Georgia,6,29.142476565625646,24.0,10,5.142476565625646,5.142476565625646,26.44506522800894
132,Hawaii,3,28.601273807210152,12.0,11,16.601273807210152,16.601273807210152,275.60229202196183
133,Hawaii,3,28.601273807210152,14.6,11,14.001273807210152,14.001273807210152,196.03566822446908
134,Hawaii,3,28.601273807210152,19.3,11,9.301273807210151,9.301273807210151,86.51369443669363
135,Hawaii,4,28.775761013462947,11.3,11,17.475761013462947,17.475761013462947,305.4022229996715
136,Hawaii,4,28.775761013462947,10.9,11,17.87576101346295,17.87576101346295,319.5428318104419
137,Hawaii,4,28.775761013462947,14.8,11,13.975761013462947,13.975761013462947,195.32189590543084
138,Hawaii,5,28.950248219715746,9.5,11,19.450248219715746,19.450248219715746,378.31215580855553
139,Hawaii,5,28.950248219715746,11.1,11,17.850248219715745,17.850248219715745,318.6313615054651
140,Hawaii,5,28.950248219715746,14.8,11,14.150248219715746,14.150248219715746,200.2295246795686
141,Hawaii,6,29.12473542596854,12.0,11,17.12473542596854,17.12473542596854,293.256563409422
142,Hawaii,6,29.12473542596854,17.0,11,12.124735425968542,12.124735425968542,147.00920914973656
143,Hawaii,6,29.12473542596854,18.6,11,10.52473542596854,10.52473542596854,110.77005578663719
144,Idaho,3,28.583532667553047,13.7,12,14.883532667553048,14.883532667553048,221.51954466611875
145,Idaho,3,28.583532667553047,18.4,12,10.183532667553049,10.183532667553049,103.70433759112012
146,Idaho,3,28.583532667553047,21.2,12,7.383532667553048,7.383532667553048,54.51655465282303
147,Idaho,4,28.758019873805843,14.0,12,14.758019873805843,14.758019873805843,217.79915059564823
148,Idaho,4,28.758019873805843,16.7,12,12.058019873805844,12.058019873805844,145.3958432770967
149,Idaho,4,28.758019873805843,20.5,12,8.258019873805843,8.258019873805843,68.19489223617227
150,Idaho,5,28.93250708005864,11.0,12,17.93250708005864,17.93250708005864,321.5748101763533
151,Idaho,5,28.93250708005864,15.2,12,13.732507080058642,13.732507080058642,188.58175070386073
152,Idaho,5,28.93250708005864,19.1,12,9.83250708005864,9.83250708005864,96.67819547940329
153,Idaho,6,29.106994286311437,15.1,12,14.006994286311437,14.006994286311437,196.19588893676126
154,Idaho,6,29.106994286311437,18.0,12,11.106994286311437,11.106994286311437,123.36532207615491
155,Idaho,6,29.106994286311437,21.9,12,7.2069942863114385,7.2069942863114385,51.94076664292572
156,Illinois,3,28.565791527895943,13.3,13,15.265791527895942,15.265791527895942,233.04439097317953
157,Illinois,3,28.565791527895943,17.1,13,11.465791527895941,11.465791527895941,131.46437536117034
158,Illinois,3,28.565791527895943,19.6,13,8.965791527895941,8.965791527895941,80.38541772169064
159,Illinois,4,28.74027873414874,13.6,13,15.140278734148739,15.140278734148739,229.22804014771654
160,Illinois,4,28.74027873414874,15.2,13,13.540278734148739,13.540278734148739,183.33914819844057
161,Illinois,4,28.74027873414874,19.3,13,9.440278734148738,9.440278734148738,89.11886257842089
162,Illinois,5,28.914765940401537,11.4,13,17.51476594040154,17.51476594040154,306.7670259470498
163,Illinois,5,28.914765940401537,13.7,13,15.214765940401538,15.214765940401538,231.4891026212027
164,Illinois,5,28.914765940401537,16.9,13,12.014765940401539,12.014765940401539,144.35460060263287
165,Illinois,6,29.089253146654332,14.1,13,14.989253146654333,14.989253146654333,224.6777098944868
166,Illinois,6,29.089253146654332,18.1,13,10.989253146654331,10.989253146654331,120.76368472125212
167,Illinois,6,29.089253146654332,21.7,13,7.389253146654333,7.389253146654333,54.60106206534096
168,Indiana,3,28.54805038823884,14.9,14,13.648050388238838,13.648050388238838,186.2692793999063
169,Indiana,3,28.54805038823884,21.1,14,7.448050388238837,7.448050388238837,55.47345458574469
170,Indiana,3,28.54805038823884,24.2,14,4.348050388238839,4.348050388238839,18.905542178663918
171,Indiana,4,28.722537594491634,14.7,14,14.022537594491634,14.022537594491634,196.63156058893122
172,Indiana,4,28.722537594491634,17.1,14,11.622537594491632,11.622537594491632,135.08338013537133
173,Indiana,4,28.722537594491634,22.1,14,6.622537594491632,6.622537594491632,43.85800419045501
174,Indiana,5,28.897024800744433,14.7,14,14.197024800744433,14.197024800744433,201.5555131929525
175,Indiana,5,28.897024800744433,16.5,14,12.397024800744433,12.397024800744433,153.68622391027253
176,Indiana,5,28.897024800744433,21.8,14,7.097024800744432,7.097024800744432,50.36776102238154
177,Indiana,6,29.071512006997228,13.6,14,15.471512006997228,15.471512006997228,239.3676837826594
